City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
203,Kearney,1,US,2021-09-20 02:34:54,57,40.6995,-99.0815,79.84,14.0
204,Atambua,12,ID,2021-09-20 02:35:37,40,-9.1061,124.8925,86.68,4.12
205,Bulawayo,3,ZW,2021-09-20 02:35:38,53,-20.15,28.5833,56.59,4.43
206,Bayshore Gardens,1,US,2021-09-20 02:35:38,77,27.4253,-82.5904,81.14,3.44
207,Neryungri,99,RU,2021-09-20 02:35:39,67,56.6709,124.6491,47.14,3.13
208,Chapais,90,CA,2021-09-20 02:35:39,71,49.7834,-74.8492,49.78,8.01
209,Aksarka,99,RU,2021-09-20 02:35:40,89,66.5606,67.7975,33.78,18.43
210,Maniwaki,0,CA,2021-09-20 02:33:42,93,46.3834,-75.966,50.54,0.0
211,Bossangoa,100,CF,2021-09-20 02:35:40,98,6.4926,17.4552,68.76,1.72
212,Egvekinot,0,RU,2021-09-20 02:35:41,60,66.3167,-179.1667,28.26,2.24
213,Tahe,1,CN,2021-09-20 02:35:41,45,52.3333,124.7333,62.17,6.13
214,Kosamba,32,IN,2021-09-20 02:35:42,88,21.4833,72.95,82.11,8.14
215,Sitangkai,100,PH,2021-09-20 02:35:42,67,4.6628,119.3928,83.53,1.57
216,Marsaxlokk,0,MT,2021-09-20 02:35:43,94,35.8419,14.5431,77.07,3.44
217,Sao Jose Da Coroa Grande,84,BR,2021-09-20 02:35:43,80,-8.8978,-35.1478,74.17,6.53
218,Jiwani,20,PK,2021-09-20 02:35:44,82,25.05,61.7417,81.12,6.29
219,Bilma,0,NE,2021-09-20 02:35:44,16,18.6853,12.9164,83.03,3.8
220,Ilorin,45,NG,2021-09-20 02:35:44,96,8.5,4.55,71.74,6.06
221,Thompson,90,CA,2021-09-20 02:35:45,76,55.7435,-97.8558,53.76,12.66
222,Severo-Kurilsk,36,RU,2021-09-20 02:35:45,74,50.6789,156.125,51.85,15.99
223,Pineville,90,US,2021-09-20 02:35:46,91,31.3224,-92.4343,73.87,0.0
224,Kaitangata,95,NZ,2021-09-20 02:35:46,55,-46.2817,169.8464,59.0,3.47
225,Forestville,1,US,2021-09-20 02:35:47,82,38.8451,-76.875,69.98,0.0
226,Kirensk,98,RU,2021-09-20 02:35:47,59,57.7853,108.1119,59.79,1.83
227,Aksu,1,CN,2021-09-20 02:35:47,18,41.1231,80.2644,78.44,4.07
228,Kudahuvadhoo,84,MV,2021-09-20 02:35:48,71,2.6708,72.8944,82.31,4.7
229,Airai,11,TL,2021-09-20 02:35:48,34,-8.9266,125.4092,76.96,6.89
230,Pevek,71,RU,2021-09-20 02:35:49,69,69.7008,170.3133,30.74,2.75
231,Arnedo,100,ES,2021-09-20 02:35:49,69,42.2167,-2.1,58.5,8.77
232,Berezovyy,41,RU,2021-09-20 02:35:49,39,51.6667,135.7,62.29,13.58
233,Westport,1,US,2021-09-20 02:35:50,85,41.1415,-73.3579,68.14,4.0
234,Mangrol,16,IN,2021-09-20 02:35:51,83,21.1167,70.1167,81.48,4.18
235,Sinnamary,100,GF,2021-09-20 02:35:51,81,5.3833,-52.95,79.5,9.95
236,Luvianos,78,MX,2021-09-20 02:35:52,89,18.9167,-100.4,63.23,2.64
237,Athabasca,42,CA,2021-09-20 02:33:28,87,54.7169,-113.2854,48.61,6.51
238,Haines Junction,96,CA,2021-09-20 02:35:53,41,60.7522,-137.5108,55.35,3.44
239,Menongue,19,AO,2021-09-20 02:35:54,76,-14.6585,17.691,62.37,4.43
240,Dwarka,9,IN,2021-09-20 02:35:54,80,22.2394,68.9678,82.51,12.17
241,Guaraniacu,93,BR,2021-09-20 02:35:55,63,-25.1008,-52.8781,68.59,3.06
242,Morondava,6,MG,2021-09-20 02:35:55,82,-20.2833,44.2833,65.44,9.64
243,Ancud,30,CL,2021-09-20 02:31:34,88,-41.8697,-73.8203,45.43,4.74
244,Baoro,100,CF,2021-09-20 02:35:56,96,5.6667,15.9667,66.4,0.6
245,Udachnyy,100,RU,2021-09-20 02:33:37,58,66.4167,112.4,36.73,13.82
246,Oistins,20,BB,2021-09-20 02:35:57,83,13.0667,-59.5333,77.09,2.3
247,Bardiyah,0,LY,2021-09-20 02:35:57,74,31.7561,25.0865,76.57,4.54
248,Tual,59,ID,2021-09-20 02:35:58,81,-5.6667,132.75,80.17,17.83
249,Quatre Cocos,38,MU,2021-09-20 02:35:58,61,-20.2078,57.7625,66.31,10.25
250,Tuatapere,100,NZ,2021-09-20 02:35:59,79,-46.1333,167.6833,49.8,9.31
251,Kodiak,1,US,2021-09-20 02:35:59,76,57.79,-152.4072,51.31,9.22
252,Hobyo,32,SO,2021-09-20 02:36:00,83,5.3505,48.5268,77.11,21.16
253,Qaqortoq,48,GL,2021-09-20 02:36:00,86,60.7167,-46.0333,41.5,2.98
254,Novopokrovka,100,UA,2021-09-20 02:36:01,85,49.8425,36.5477,55.78,6.85
255,Phalodi,86,IN,2021-09-20 02:36:01,51,27.1333,72.3667,89.24,8.55
256,Caravelas,60,BR,2021-09-20 02:36:01,86,-17.7125,-39.2481,70.93,5.08
257,Leningradskiy,98,RU,2021-09-20 02:36:02,83,69.3833,178.4167,28.87,17.96
258,Cay,23,TR,2021-09-20 02:36:03,57,38.5917,31.0286,63.27,3.94
259,Puntarenas,99,CR,2021-09-20 02:36:03,86,9.9763,-84.8384,80.53,5.37
260,Manosque,0,FR,2021-09-20 02:36:03,85,43.8288,5.7869,60.49,4.59
261,Portland,90,US,2021-09-20 02:36:04,84,45.5234,-122.6762,62.58,1.01
262,Sao Filipe,100,CV,2021-09-20 02:36:04,84,14.8961,-24.4956,79.47,9.15
263,Yankton,1,US,2021-09-20 02:32:14,54,42.8711,-97.3973,80.85,12.66
264,Natal,20,BR,2021-09-20 02:32:29,78,-5.795,-35.2094,77.65,10.36
265,Gimli,100,CA,2021-09-20 02:36:05,48,50.6336,-96.9907,66.22,5.75
266,Saravena,95,CO,2021-09-20 02:36:06,98,6.9538,-71.8752,71.49,2.93
267,Cherskiy,99,RU,2021-09-20 02:36:06,46,68.75,161.3,36.27,9.86
268,Owando,100,CG,2021-09-20 02:36:07,98,-0.4819,15.8999,67.46,2.42
269,Shelburne,0,CA,2021-09-20 02:36:07,74,44.0787,-80.2041,57.99,7.11
270,Vangaindrano,84,MG,2021-09-20 02:36:08,89,-23.35,47.6,62.56,1.92
271,Ambatofinandrahana,93,MG,2021-09-20 02:36:08,77,-20.55,46.8,54.59,5.55
272,Fuyang,61,CN,2021-09-20 02:35:02,73,32.9,115.8167,73.51,12.46
273,Bang Saphan,100,TH,2021-09-20 02:36:09,65,11.2126,99.5117,80.55,3.53
274,Samarai,100,PG,2021-09-20 02:36:09,88,-10.6167,150.6667,79.34,15.3
275,Antofagasta,47,CL,2021-09-20 02:36:09,80,-23.65,-70.4,56.48,7.87
276,Razole,98,IN,2021-09-20 02:36:10,71,16.4833,81.8333,82.69,3.56
277,Haverfordwest,4,GB,2021-09-20 02:36:10,91,51.8017,-4.9691,54.16,7.29
278,Tsumeb,57,NA,2021-09-20 02:36:11,22,-19.2333,17.7167,71.62,8.05
279,Soe,11,ID,2021-09-20 02:36:11,33,-9.8607,124.284,83.91,12.86
280,Nome,90,US,2021-09-20 02:35:26,49,64.5011,-165.4064,39.27,16.11
281,Kalmunai,50,LK,2021-09-20 02:36:12,72,7.4167,81.8167,84.38,3.58
282,Salalah,75,OM,2021-09-20 02:36:13,94,17.0151,54.0924,78.89,5.75
283,Opuwo,5,NA,2021-09-20 02:36:13,34,-18.0607,13.84,63.52,3.44
284,Rabat,40,MA,2021-09-20 02:36:14,95,33.9911,-6.8401,66.15,0.0
285,Guaira,94,BR,2021-09-20 02:36:14,27,-20.3183,-48.3106,86.97,5.21
